368,	1349,	156,	1414,	-41,	-645,	85
369,	1531,	39,	1479,	-23,	-554,	94
370,	1583,	44,	1304,	44,	-450,	-95
371,	1549,	106,	1242,	-75,	-212,	-7
372,	1582,	82,	1195,	-29,	-169,	-3
373,	1618,	79,	1238,	-41,	-202,	-11
374,	1608,	105,	1217,	6,	-135,	-34
375,	1647,	62,	1246,	-29,	-90,	11
376,	1621,	71,	1228,	-98,	31,	63
377,	1671,	53,	1303,	-84,	-4,	14
378,	1607,	82,	1216,	-9,	-20,	-20
379,	1648,	42,	1230,	-60,	-23,	15
380,	1633,	43,	1227,	-60,	-35,	17
381,	1616,	62,	1214,	-32,	-95,	-7
382,	1657,	48,	1226,	-46,	-79,	35
383,	1630,	53,	1208,	-61,	-18,	25
384,	1673,	26,	1262,	-52,	-29,	11
385,	1659,	55,	1273,	-34,	-13,	-17
386,	1625,	66,	1216,	-20,	-20,	-6
387,	1635,	50,	1226,	-26,	-32,	-16
388,	1614,	74,	1207,	-43,	-20,	-6
389,	1657,	40,	1254,	-32,	-8,	-7
390,	1624,	73,	1227,	-34,	-22,	-8
391,	1589,	64,	1191,	-56,	-6,	-9
392,	1646,	52,	1257,	-54,	-49,	-4
393,	1604,	73,	1219,	-20,	2,	-7
394,	1633,	41,	1271,	-46,	-108,	-33
395,	1589,	77,	1202,	-31,	21,	4
396,	1622,	51,	1248,	-45,	-1,	-10
397,	1595,	67,	1244,	-60,	99,	8
398,	1601,	72,	1297,	19,	69,	-65
399,	1584,	80,	1293,	18,	229,	-59
400,	1497,	98,	1294,	-17,	425,	-12
401,	1493,	62,	1524,	-19,	664,	35
402,	1332,	108,	1506,	-58,	818,	116
403,	1219,	96,	1480,	91,	849,	7
404,	1112,	114,	1830,	-3,	1403,	42
405,	888,	106,	1712,	114,	593,	-132
406,	815,	109,	1828,	26,	720,	-206
407,	566,	150,	1750,	-294,	919,	-186
408,	428,	97,	1874,	-570,	1042,	-53
409,	368,	-64,	2081,	-211,	277,	-55
410,	258,	24,	1909,	-54,	11,	0
411,	277,	-44,	1888,	-29,	-72,	73
412,	306,	-14,	1899,	-36,	-56,	33
413,	308,	-36,	1941,	-39,	-62,	29
414,	297,	-16,	1930,	-57,	-38,	29
415,	312,	-18,	1928,	-79,	-3,	73
416,	331,	-53,	1946,	-84,	-20,	65
417,	301,	-15,	1953,	-84,	26,	29
418,	273,	-38,	1918,	-50,	-19,	73
419,	261,	-52,	1941,	-25,	-22,	144
420,	236,	-82,	1979,	-95,	88,	338
421,	149,	-61,	1857,	-151,	48,	621
422,	277,	-148,	1919,	-49,	13,	848
423,	234,	-33,	1963,	25,	-29,	780
424,	205,	-65,	1977,	97,	-39,	898
425,	257,	-144,	1886,	89,	20,	795
426,	214,	-125,	1897,	-33,	32,	663
427,	189,	-29,	1981,	-93,	-10,	645
428,	202,	-61,	1996,	50,	-33,	709
429,	213,	-108,	1916,	107,	-62,	753
430,	215,	-38,	1906,	42,	-70,	536
431,	235,	-27,	1917,	44,	57,	260
432,	204,	-47,	1945,	-8,	-2,	106
433,	151,	-33,	1923,	-34,	19,	142
434,	175,	-34,	1997,	-27,	-15,	123
435,	149,	5,	1925,	-89,	-10,	39
436,	153,	-7,	1910,	-76,	-26,	35
437,	160,	-12,	1938,	-12,	-32,	57
438,	163,	-18,	1924,	-26,	-27,	36
439,	169,	-33,	1947,	-33,	-26,	22
440,	169,	-21,	1924,	-55,	-17,	-11
441,	159,	-23,	1915,	-51,	-45,	-75
442,	180,	-22,	1909,	-87,	-47,	-161
443,	175,	-57,	1928,	-93,	-42,	-357
444,	169,	-40,	1929,	-72,	-31,	-477
445,	159,	-56,	1930,	-76,	-116,	-495
446,	220,	-74,	1921,	-61,	1,	-665
447,	184,	-36,	1957,	23,	-138,	-718
448,	226,	-79,	1913,	23,	-21,	-777
449,	141,	-12,	1867,	-45,	148,	-765
450,	138,	-78,	1953,	-320,	134,	-725
451,	184,	-112,	2030,	-133,	-209,	-934
452,	155,	-103,	1942,	-180,	61,	-878
453,	99,	-99,	1940,	-193,	-25,	-751
454,	55,	-106,	1967,	-124,	22,	-490
455,	140,	-154,	1915,	79,	-75,	-297
456,	172,	-134,	1891,	10,	-53,	-426
457,	117,	-107,	1982,	-85,	33,	-292
458,	144,	-116,	1942,	-84,	-7,	-118
459,	163,	-118,	1946,	-37,	-39,	-13
460,	161,	-137,	1944,	-46,	-37,	45
461,	172,	-118,	1938,	-31,	-20,	36
462,	155,	-122,	1923,	-1,	-29,	29
463,	184,	-143,	1920,	-31,	-1,	-2
464,	154,	-94,	1933,	-52,	-51,	-39
465,	170,	-111,	1930,	-60,	-46,	1
466,	195,	-129,	1922,	-40,	-63,	-55
467,	235,	-152,	1903,	-27,	-36,	-210
468,	232,	-158,	1936,	-127,	-85,	-408
469,	218,	-114,	1970,	-230,	-162,	-664
470,	240,	-151,	1887,	-284,	-149,	-837
471,	266,	-205,	1987,	-335,	-21,	-860
472,	278,	-227,	1962,	-250,	0,	-971
473,	261,	-210,	1865,	-34,	-179,	-1266
474,	329,	-263,	1938,	-158,	13,	-991
475,	294,	-240,	1826,	-101,	-6,	-887
476,	246,	-84,	1951,	-166,	86,	-741
477,	358,	-256,	1953,	-38,	250,	-712
478,	324,	-251,	1906,	-45,	341,	-641
479,	258,	-167,	1878,	146,	52,	-861
480,	185,	-116,	2009,	-164,	16,	-436
481,	199,	-131,	1954,	-145,	4,	-203
482,	210,	-165,	1923,	27,	-8,	-18
483,	249,	-177,	1917,	5,	-37,	-7
484,	234,	-163,	1934,	-40,	-25,	14
485,	255,	-178,	1938,	-39,	-20,	-13
486,	208,	-159,	1896,	-49,	-36,	-6
487,	252,	-167,	1951,	-11,	-8,	13
488,	230,	-165,	1894,	-8,	-35,	1
489,	238,	-162,	1932,	-55,	-77,	-4
490,	268,	-171,	1936,	-12,	-57,	-10
491,	184,	-109,	1951,	4,	-45,	-15
492,	268,	-157,	1932,	-42,	-32,	0
493,	237,	-155,	1898,	-32,	-30,	3
494,	217,	-134,	1900,	5,	-41,	32
495,	293,	-160,	1950,	-21,	-51,	24
496,	235,	-123,	1934,	-69,	-72,	-11
497,	259,	-137,	1917,	-74,	-64,	5
498,	258,	-159,	1960,	-42,	-48,	0
499,	269,	-158,	1909,	-24,	-15,	29
500,	259,	-158,	1905,	-47,	-40,	20
501,	255,	-155,	1886,	-49,	-42,	45
502,	277,	-159,	1923,	-43,	-28,	57
503,	251,	-148,	1922,	12,	-16,	53
504,	247,	-140,	1919,	-47,	-23,	112
505,	244,	-159,	1936,	-27,	1,	140
506,	128,	-105,	1900,	-126,	-80,	328
507,	341,	-242,	1985,	-85,	-87,	276
508,	242,	-154,	1927,	-10,	-67,	189
509,	179,	-113,	1942,	90,	150,	256
510,	149,	-185,	1798,	-234,	23,	566
511,	304,	-298,	2052,	-114,	-88,	618
512,	452,	-227,	1622,	156,	247,	333
513,	247,	-140,	2105,	51,	135,	69
514,	50,	-87,	1951,	298,	-234,	-133
515,	88,	-27,	1889,	203,	24,	85
516,	133,	-84,	1881,	13,	-9,	238
517,	197,	-52,	1918,	-38,	-48,	248
518,	57,	36,	1974,	-106,	-17,	399
519,	61,	4,	1949,	-75,	85,	782
520,	89,	-36,	1846,	16,	152,	1001
521,	111,	-58,	1973,	145,	-108,	1034
522,	99,	-22,	1936,	99,	103,	1058
523,	96,	-2,	1970,	-17,	46,	1037
524,	95,	17,	1987,	-9,	-73,	859
525,	128,	25,	1956,	-24,	-100,	550
526,	142,	43,	1977,	-30,	-53,	145
527,	115,	56,	1974,	-56,	-55,	-70
528,	104,	45,	1911,	-78,	-21,	-110
529,	82,	18,	1934,	-60,	4,	-30
530,	121,	24,	1898,	-53,	-80,	12
531,	108,	56,	1942,	28,	-105,	6
